URN|Name
|Abas
|Abdera
|Abderia
urn:cite2:hmt:pers.v1:pers1092|Abderus
|Acalle
|Acarnan
|Acarnania
|Acastus
|Achaeans
urn:cite2:hmt:pers.v1:pers13|Achaeus
|Achaia
urn:cite2:hmt:pers.v1:pers545|Achelous
|Acheron
urn:cite2:hmt:pers.v1:pers1|Achilles
|Acontes
urn:cite2:hmt:pers.v1:pers904|Acrisius
|Acropolis
urn:cite2:hmt:pers.v1:pers952|Actaea
urn:cite2:hmt:pers.v1:pers1104|Actaeon
urn:cite2:hmt:pers.v1:pers1104|Actaeon's
urn:cite2:hmt:pers.v1:pers13|Actaeus
|Acte
|Actor
urn:cite2:hmt:pers.v1:pers1223|Acusilaus
|Adiante
|Adite
|Admete
urn:cite2:hmt:pers.v1:pers748|Admetus
urn:cite2:hmt:pers.v1:pers261|Adonis
|Adrastia
urn:cite2:hmt:pers.v1:pers717|Adrastus
urn:cite2:hmt:pers.v1:pers131|Aeacus
|Aeaea
urn:cite2:hmt:pers.v1:pers665|Aeetes
|Aegaeon
|Aegeoneus
urn:cite2:hmt:pers.v1:pers213|Aegeus
urn:cite2:hmt:pers.v1:pers120|Aegialeus
urn:cite2:hmt:pers.v1:pers859|Aegialia
|Aegimius
|Aegipan
|Aegius
|Aegle
|Aegleis
urn:cite2:hmt:pers.v1:pers1216|Aello
|Aellopus
urn:cite2:hmt:pers.v1:pers142|Aeneas
|Aenetus
|Aenian
urn:cite2:hmt:pers.v1:pers1111|Aenus
|Aeolia
|Aeolians
urn:cite2:hmt:pers.v1:pers205|Aeolus
urn:cite2:hmt:pers.v1:pers409|Aepytus
|Aerope
|Aesacus
|Aeschreis
|Aesculapius
|Aeson
urn:cite2:hmt:pers.v1:pers1133|Aethlius
|Aethra
|Aethusa
urn:cite2:hmt:pers.v1:pers205|Aetolus
urn:cite2:hmt:pers.v1:pers22|Agamemnon
urn:cite2:hmt:pers.v1:pers414|Agapenor
|Agaptolemus
urn:cite2:hmt:pers.v1:pers734|Agasthenes
urn:cite2:hmt:pers.v1:pers1086|Agathon
urn:cite2:hmt:pers.v1:pers957|Agave
|Agelaus
|Agenor
|Aglaia
|Agraulus
urn:cite2:hmt:pers.v1:pers313|Agrius
urn:cite2:hmt:pers.v1:pers130|Aigina
|Aitolia
|Aitolian
|Ajax
|Akraia
|Alastor
|Alcaeus
|Alcathous
|Alcathus
urn:cite2:hmt:pers.v1:pers187|Alces
urn:cite2:hmt:pers.v1:pers749|Alcestis
|Alcides
|Alcidice
|Alcimenes
|Alcinous
|Alcinus
|Alcippe
urn:cite2:hmt:pers.v1:pers1167|Alcmaeon
urn:cite2:hmt:pers.v1:pers1167|Alcmaeon's
urn:cite2:hmt:pers.v1:pers1167|Alcmaeonid
urn:cite2:hmt:pers.v1:pers906|Alcmena
urn:cite2:hmt:pers.v1:pers906|Alcmena's
|Alcmenor
|Alcon
|Alcyone
|Alcyoneus
urn:cite2:hmt:pers.v1:pers1279|Alecto
|Alector
|Aletes
|Aleus
urn:cite2:hmt:pers.v1:pers129|Alexander
|Alexiares
|All-seeing
|Aloads
|Aloeus
|Alopius
|Alphesiboea
|Alpheus
urn:cite2:hmt:pers.v1:pers1272|Althaea
urn:cite2:hmt:pers.v1:pers1272|Althaea's
|Althaemenes
urn:cite2:hmt:pers.v1:pers134|Amalthea
|Amarynceus
|Amarynthus
|Amazed
|Amazon
|Amazons
|Amestrius
|Amisodarus
|Ammon
urn:cite2:hmt:pers.v1:pers450|Amphianax
urn:cite2:hmt:pers.v1:pers254|Amphiaraus
urn:cite2:hmt:pers.v1:pers1130|Amphictyon
|Amphidamas
|Amphidicus
|Amphilochian
|Amphilochus
|Amphimachus
|Amphion
|Amphion's
|Amphithea
|Amphitrite
|Amphitryon
|Amphoterus
|Amyclae
|Amyclas
|Amycus
|Amymone
|Amyntor
|Amythaon
|Anactor
|Anaphe
|Anaurus
|Anaxibia
|Anaxo
|Ancaeus
|Anchinoe
|Anchises
|Anchius
|Ancyor
|Andraemon
|Androgeus
|Andromache
|Andromeda
|Anicetus
|Anogon
|Antaeus
|Anthea
|Antheis
|Anthelia
|Anthemus
|Anthippe
|Antia
|Antiades
|Anticlia
|Antigone
|Antileon
|Antilochus
|Antimache
|Antimachus
|Antiochus
|Antiope
|Antiphus
|Apemosyne
|Aphareus
|Aphetae
|Aphidas
|Aphidnae
|Aphrodite
|Apia
|Apis
|Apollo
|Apollonius
|Apsyrtides
|Apsyrtus
|Arabia
|Arabian
|Arbelus
|Arcadia
|Arcadian
|Arcadians
|Arcas
|Arcena
|Archebates
|Archedicus
|Archelaus
|Archemachus
|Archemorus
|Architeles
|Arcisius
|Arene
|Areopagus
|Ares
|Arestor
|Arete
|Arethusa
|Aretus
|Argele
|Arges
|Argia
|Argiope
|Argiphontes
|Argius
|Argive
|Argives
|Argo
|Argolis
|Argonautica
|Argonauts
|Argos
|Argus
|Argyphia
|Aria
|Ariadne
|Arion
|Arisbe
|Aristaeus
|Aristodeme
|Aristodemus
|Aristomachus
|Arneus
|Arsinoe
|Artemis
|Artemisium
|Ascalaphus
|Ascanius
|Asclepiades
|Asia
|Asius
|Asopis
|Asopus
|Assaracus
|Assyria
|Astacus
|Asteria
|Asterius
|Asterodia
|Asterope
|Astraeus
|Astyanax
|Astybies
|Astycratia
|Astydamia
|Astygonus
|Astynous
|Astyoche
|Astypalaea
|Atabyrian
|Atabyrium
|Atalanta
|Atas
|Athamantia
|Athamas
|Athena
|Athena's
|Athenians
|Athens
|Atlantia
|Atlas
|Atreus
|Atromus
|Atropus
|Atthis
|Attica
|Atymnius
|Auge
|Augeas
|Augeas's
|Aulis
|Ausonia
|Autesion
|Autolycus
|Automate
|Automedusa
|Autonoe
|Bacchanals
|Bacchic
|Balius
|Batia
|Baton
|Bebryces
urn:cite2:hmt:pers.v1:pers720|Bellerophon
|Belus
|Benthesicyme
|Benthesicyme's
|Bias
|Bistones
|Bithynian
|Blest
|Boeotia
